月份,Sheet,问题类型,包名,发货单号,字段,原始值,处理后值,原始行号,处理后行号,说明
6月,钇嵩,多余行,李金娥-胫腓骨骨折1/4,1611907,整行,,1.0/1350.0/1350.0,,18,
6月,钇嵩,多余行,李金娥-胫腓骨骨折2/4,1611907,整行,,1.0/0.0/0.0,,19,
6月,钇嵩,多余行,李金娥-胫腓骨骨折3/4,1611907,整行,,1.0/0.0/0.0,,20,
6月,钇嵩,多余行,李金娥-胫腓骨骨折4/4,1611907,整行,,1.0/0.0/0.0,,21,
6月,钇嵩,多余行,李金娥-胫腓骨骨折  1/1,1612098,整行,,1.0/350.0/350.0,,22,
6月,钇嵩,多余行,李金娥-胫腓骨骨折  1/1,1612450,整行,,1.0/350.0/350.0,,23,
6月,钇嵩,多余行,何丽梅-股骨头无菌性坏死  1/3,1612450,整行,,1.0/0.0/0.0,,24,
6月,钇嵩,多余行,何丽梅-股骨头无菌性坏死  2/3,1612450,整行,,1.0/0.0/0.0,,25,
6月,钇嵩,多余行,何丽梅-股骨头无菌性坏死  3/3,1612450,整行,,1.0/1250.0/1250.0,,26,
6月,钇嵩,多余行,李秀云-右侧肘关节骨折1/1,1612838,整行,,1.0/0.0/0.0,,27,
6月,钇嵩,多余行,卢德云-股骨粗隆间骨折（右）3/3,1613225,整行,,1.0/0.0/0.0,,28,
6月,钇嵩,多余行,卢德云-股骨粗隆间骨折（右）1/3,1613225,整行,,1.0/1200.0/1200.0,,29,
6月,钇嵩,多余行,卢德云-股骨粗隆间骨折（右）2/3,1613225,整行,,1.0/0.0/0.0,,30,
6月,钇嵩,多余行,任凤贤-老年性骨质疏松   1/2,1614214,整行,,1.0/0.0/0.0,,31,
6月,钇嵩,多余行,任凤贤-老年性骨质疏松   2/2,1614214,整行,,1.0/750.0/750.0,,32,
6月,钇嵩,多余行,李淑香-右股骨颈骨折  1/3,1615351,整行,,1.0/0.0/0.0,,33,
6月,钇嵩,多余行,李淑香-右股骨颈骨折  2/3,1615351,整行,,1.0/0.0/0.0,,34,
6月,钇嵩,多余行,李淑香-右股骨颈骨折  3/3,1615351,整行,,1.0/1000.0/1000.0,,35,
6月,钇嵩,多余行,马春磊-内.外踝骨折 1/1,1615642,整行,,1.0/350.0/350.0,,36,
6月,钇嵩,多余行,徐德丽-右三踝骨折1/1,1613798,整行,,1.0/350.0/350.0,,45,
