月份,Sheet,问题类型,包名,发货单号,字段,原始值,处理后值,原始行号,处理后行号,说明
5月,康复科,缺失行,内热针-20/z7526,1606493,整行,3.0/22.0/66.0,,56,,
5月,康复科,缺失行,内热针-10/z7526,1607605,整行,3.0/13.5/40.5,,57,,
5月,康复科,缺失行,内热针-15/z7526,1607605,整行,3.0/16.5/49.5,,58,,
5月,康复科,缺失行,内热针-20/z7526,1607605,整行,1.0/22.0/22.0,,59,,
5月,康复科,缺失行,缝合包（小）,1607605,整行,1.0/27.5/27.5,,60,,
5月,康复科,多余行,内热针-10/z7526,1598862,整行,,5.0/13.5/67.5,,9,
5月,康复科,多余行,内热针-20/z7526,1598862,整行,,3.0/22.0/66.0,,10,
5月,康复科,多余行,银质针-10/z7526,1598862,整行,,1.0/13.5/13.5,,11,
5月,康复科,多余行,棉球/W9050,1598862,整行,,6.0/30.0/180.0,,12,
5月,康复科,多余行,内热针-10/z7526,1599727,整行,,5.0/13.5/67.5,,13,
5月,康复科,多余行,内热针-15/z7526,1599727,整行,,5.0/16.5/82.5,,14,
5月,康复科,多余行,银质针-10/z7526,1599727,整行,,1.0/13.5/13.5,,15,
5月,康复科,汇总不一致-总价,康复科,,总价,2356.5,2503.5,8,8,
5月,手术室,缺失行,（21号）膀胱镜鞘-3件/Z2045,1606481,整行,1.0/66.0/66.0,,124,,
5月,手术室,缺失行,25度镜头-1/双/Z1550,1606481,整行,1.0/35.0/35.0,,125,,
5月,手术室,缺失行,防水帽-2/Z7520,1606481,整行,1.0/44.0/44.0,,126,,
5月,手术室,缺失行,取物钳-1/Z2060,1606481,整行,2.0/28.0/56.0,,127,,
5月,手术室,缺失行,输尿管异物钳-1/z1560,1606481,整行,1.0/25.0/25.0,,128,,
5月,手术室,缺失行,水管-1（没接头）/z3040,1606481,整行,1.0/35.0/35.0,,129,,
5月,手术室,缺失行,外鞘闭孔器（18号）-2件/Z1545,1606481,整行,1.0/44.0/44.0,,130,,
5月,手术室,缺失行,钢丝剪-1/Z1530,1606494,整行,1.0/11.0/11.0,,131,,
5月,手术室,缺失行,克氏针-3/z7537,1606494,整行,1.0/8.0/8.0,,132,,
5月,手术室,缺失行,骨锤1骨凿1剥离子1/w6050,1606494,整行,1.0/16.5/16.5,,133,,
