月份,Sheet,问题类型,包名,发货单号,字段,原始值,处理后值,原始行号,处理后行号,说明
5月,肛肠科,缺失行,镊子-41件/w6050,1602155,整行,1.0/225.5/225.5,,9,,
5月,骨三内四科,多余行,开口器自背包-3件/z1526,1602902,整行,,1.0/16.5/16.5,,9,
5月,骨三骨六肿瘤肾十二科,缺失行,开口器自背包-3件/z1526,1602902,整行,1.0/16.5/16.5,,9,,
6月,美容科,字段不一致-单价,排针-11/Z7526,1608289,单价,60.5,13.5,9,9,原始按器械数×基础单价(60.5)计费；处理后按标准价(13.5)计费
6月,美容科,字段不一致-总价,排针-11/Z7526,1608289,总价,60.5,13.5,9,9,原始按器械数×基础单价(60.5)计费；处理后按标准价(13.5)计费
6月,美容科,字段不一致-单价,排针20/Z1026,1608289,单价,110.0,13.5,10,10,原始按器械数×基础单价(110)计费；处理后按标准价(13.5)计费
6月,美容科,字段不一致-总价,排针20/Z1026,1608289,总价,330.0,40.5,10,10,原始按器械数×基础单价(110)计费；处理后按标准价(13.5)计费
6月,美容科,字段不一致-单价,排针-15/Z1026,1609061,单价,82.5,13.5,12,12,原始按器械数×基础单价(82.5)计费；处理后按标准价(13.5)计费
6月,美容科,字段不一致-总价,排针-15/Z1026,1609061,总价,247.5,40.5,12,12,原始按器械数×基础单价(82.5)计费；处理后按标准价(13.5)计费
6月,美容科,字段不一致-单价,排针20/Z1026,1609061,单价,110.0,13.5,13,13,原始按器械数×基础单价(110)计费；处理后按标准价(13.5)计费
6月,美容科,字段不一致-总价,排针20/Z1026,1609061,总价,110.0,13.5,13,13,原始按器械数×基础单价(110)计费；处理后按标准价(13.5)计费
6月,美容科,字段不一致-单价,排针20/Z1026,1609796,单价,110.0,13.5,15,15,原始按器械数×基础单价(110)计费；处理后按标准价(13.5)计费
6月,美容科,字段不一致-总价,排针20/Z1026,1609796,总价,220.0,27.0,15,15,原始按器械数×基础单价(110)计费；处理后按标准价(13.5)计费
6月,美容科,字段不一致-单价,排针-23/Z1026,1609796,单价,126.5,16.5,16,16,原始按器械数×基础单价(126.5)计费；处理后按标准价(16.5)计费
6月,美容科,字段不一致-总价,排针-23/Z1026,1609796,总价,126.5,16.5,16,16,原始按器械数×基础单价(126.5)计费；处理后按标准价(16.5)计费
6月,美容科,字段不一致-单价,排针-14/Z1026,1610395,单价,77.0,13.5,19,19,原始按器械数×基础单价(77)计费；处理后按标准价(13.5)计费
6月,美容科,字段不一致-总价,排针-14/Z1026,1610395,总价,77.0,13.5,19,19,原始按器械数×基础单价(77)计费；处理后按标准价(13.5)计费
6月,美容科,字段不一致-单价,排针20/Z1026,1610395,单价,110.0,13.5,20,20,原始按器械数×基础单价(110)计费；处理后按标准价(13.5)计费
6月,美容科,字段不一致-总价,排针20/Z1026,1610395,总价,550.0,67.5,20,20,原始按器械数×基础单价(110)计费；处理后按标准价(13.5)计费
6月,美容科,字段不一致-单价,排针20/Z1026,1611177,单价,110.0,13.5,22,22,原始按器械数×基础单价(110)计费；处理后按标准价(13.5)计费
6月,美容科,字段不一致-总价,排针20/Z1026,1611177,总价,440.0,54.0,22,22,原始按器械数×基础单价(110)计费；处理后按标准价(13.5)计费
6月,美容科,字段不一致-单价,排针21件/Z1026,1611177,单价,115.5,16.5,23,23,原始按器械数×基础单价(115.5)计费；处理后按标准价(16.5)计费
6月,美容科,字段不一致-总价,排针21件/Z1026,1611177,总价,115.5,16.5,23,23,原始按器械数×基础单价(115.5)计费；处理后按标准价(16.5)计费
6月,美容科,字段不一致-单价,排针-12/Z7526,1611875,单价,66.0,13.5,25,25,原始按器械数×基础单价(66)计费；处理后按标准价(13.5)计费
6月,美容科,字段不一致-总价,排针-12/Z7526,1611875,总价,66.0,13.5,25,25,原始按器械数×基础单价(66)计费；处理后按标准价(13.5)计费
6月,美容科,字段不一致-单价,排针20/Z1026,1611875,单价,110.0,13.5,26,26,原始按器械数×基础单价(110)计费；处理后按标准价(13.5)计费
6月,美容科,字段不一致-总价,排针20/Z1026,1611875,总价,770.0,94.5,26,26,原始按器械数×基础单价(110)计费；处理后按标准价(13.5)计费
6月,美容科,字段不一致-单价,排针20/Z1026,1612425,单价,110.0,13.5,30,30,原始按器械数×基础单价(110)计费；处理后按标准价(13.5)计费
6月,美容科,字段不一致-总价,排针20/Z1026,1612425,总价,330.0,40.5,30,30,原始按器械数×基础单价(110)计费；处理后按标准价(13.5)计费
6月,美容科,字段不一致-单价,排针22件/Z1026,1612425,单价,121.0,16.5,31,31,原始按器械数×基础单价(121)计费；处理后按标准价(16.5)计费
6月,美容科,字段不一致-总价,排针22件/Z1026,1612425,总价,121.0,16.5,31,31,原始按器械数×基础单价(121)计费；处理后按标准价(16.5)计费
6月,美容科,字段不一致-单价,排针34件/Z1026,1613182,单价,187.0,22.0,33,33,原始按器械数×基础单价(187)计费；处理后按标准价(22)计费
6月,美容科,字段不一致-总价,排针34件/Z1026,1613182,总价,374.0,44.0,33,33,原始按器械数×基础单价(187)计费；处理后按标准价(22)计费
6月,美容科,字段不一致-单价,排针30件/Z1026,1614154,单价,167.5,16.5,37,37,原始按器械数×基础单价(167.5)计费；处理后按标准价(16.5)计费
6月,美容科,字段不一致-总价,排针30件/Z1026,1614154,总价,167.5,16.5,37,37,原始按器械数×基础单价(167.5)计费；处理后按标准价(16.5)计费
6月,美容科,字段不一致-单价,排针35件/Z1026,1614154,单价,192.5,22.0,38,38,原始按器械数×基础单价(192.5)计费；处理后按标准价(22)计费
6月,美容科,字段不一致-总价,排针35件/Z1026,1614154,总价,192.5,22.0,38,38,原始按器械数×基础单价(192.5)计费；处理后按标准价(22)计费
6月,美容科,字段不一致-单价,排针-28/Z1026,1614899,单价,154.0,16.5,42,42,原始按器械数×基础单价(154)计费；处理后按标准价(16.5)计费
6月,美容科,字段不一致-总价,排针-28/Z1026,1614899,总价,154.0,16.5,42,42,原始按器械数×基础单价(154)计费；处理后按标准价(16.5)计费
6月,美容科,字段不一致-单价,排针30件/Z1026,1614899,单价,167.5,16.5,43,43,原始按器械数×基础单价(167.5)计费；处理后按标准价(16.5)计费
6月,美容科,字段不一致-总价,排针30件/Z1026,1614899,总价,335.0,33.0,43,43,原始按器械数×基础单价(167.5)计费；处理后按标准价(16.5)计费
6月,美容科,字段不一致-单价,排针21/Z1026,1615589,单价,115.5,16.5,44,44,原始按器械数×基础单价(115.5)计费；处理后按标准价(16.5)计费
6月,美容科,字段不一致-总价,排针21/Z1026,1615589,总价,115.5,16.5,44,44,原始按器械数×基础单价(115.5)计费；处理后按标准价(16.5)计费
6月,美容科,字段不一致-单价,排针30件/Z1026,1615589,单价,167.5,16.5,45,45,原始按器械数×基础单价(167.5)计费；处理后按标准价(16.5)计费
6月,美容科,字段不一致-总价,排针30件/Z1026,1615589,总价,335.0,33.0,45,45,原始按器械数×基础单价(167.5)计费；处理后按标准价(16.5)计费
6月,美容科,字段不一致-单价,排针-28/Z1026,1616099,单价,154.0,16.5,46,46,原始按器械数×基础单价(154)计费；处理后按标准价(16.5)计费
6月,美容科,字段不一致-总价,排针-28/Z1026,1616099,总价,154.0,16.5,46,46,原始按器械数×基础单价(154)计费；处理后按标准价(16.5)计费
6月,美容科,字段不一致-单价,排针30件/Z1026,1616099,单价,167.5,16.5,47,47,原始按器械数×基础单价(167.5)计费；处理后按标准价(16.5)计费
6月,美容科,字段不一致-总价,排针30件/Z1026,1616099,总价,335.0,33.0,47,47,原始按器械数×基础单价(167.5)计费；处理后按标准价(16.5)计费
6月,美容科,汇总不一致-总价,美容科,,总价,6333.0,1305.5,8,8,
