月份,Sheet,问题类型,包名,发货单号,字段,原始值,处理后值,原始行号,处理后行号,说明
6月,MECT科室,缺失行,牙垫-1/z1530,1611853,整行,1.0/8.0/8.0,,15,,
6月,MECT科室,缺失行,牙垫-5/z1535,1611853,整行,9.0/8.0/72.0,,16,,
6月,MECT科室,缺失行,开口器舌钳子压舌板-3/Z1526,1611869,整行,1.0/16.5/16.5,,17,,
6月,MECT科室,缺失行,牙垫-3/z1535,1613542,整行,1.0/8.0/8.0,,18,,
6月,MECT科室,缺失行,牙垫-5/z1535,1613542,整行,4.0/8.0/32.0,,19,,
6月,MECT科室,缺失行,牙垫-5/z1535,1615537,整行,7.0/8.0/56.0,,20,,
6月,公共卫生科,缺失行,开口器舌钳子压舌板-3/Z1526,1613562,整行,10.0/16.5/165.0,,9,,
6月,公共卫生科,缺失行,吸引器-1/Z3040,1613562,整行,1.0/16.0/16.0,,10,,
6月,公共卫生科,缺失行,洗胃机组件-1/Z3040,1613562,整行,1.0/16.0/16.0,,11,,
6月,公共卫生科,缺失行,开口器舌钳子压舌板-3/Z1526,1615538,整行,7.0/16.5/115.5,,12,,
6月,公共卫生科,多余行,开口器舌钳子压舌板-3/Z1526,1609848,整行,,1.0/16.5/16.5,,9,
6月,公共卫生科,多余行,开口器舌钳子压舌板-3/Z1526,1613561,整行,,11.0/16.5/181.5,,10,
6月,公共卫生科,多余行,开口器舌钳子压舌板-3/Z1526,1615540,整行,,9.0/16.5/148.5,,11,
6月,公共卫生科,汇总不一致-总价,公共卫生科,,总价,312.5,346.5,8,8,
