科室,原始行,发货单号,包名,包数,原单价,处理后单价,原总价,处理后总价,说明
周围血管（小箱）,11,1596453,剪刀2止血钳1探针1/z1526,1.0,27.5,22.0,27.5,22.0,原始按器械数×基础单价(27.5)计费；处理后按标准价(22)计费
周围血管（小箱）,12,1598003,剪刀2止血钳1探针1/z1526,1.0,27.5,22.0,27.5,22.0,原始按器械数×基础单价(27.5)计费；处理后按标准价(22)计费
周围血管（小箱）,13,1599345,剪刀2止血钳1/z1526,1.0,22.0,16.5,22.0,16.5,原始按器械数×基础单价(22)计费；处理后按标准价(16.5)计费
