科室,原始行,发货单号,包名,包数,原单价,处理后单价,原总价,处理后总价,说明
口腔科,11,1603800,车针/Z7520,6.0,16.5,8.0,99.0,48.0,
口腔科,17,1606536,车针/Z7520,3.0,16.5,8.0,49.5,24.0,
