科室,原始行,发货单号,包名,包数,原单价,处理后单价,原总价,处理后总价,说明
手术室,14,1576233,缝合针-6/Z7520,2.0,35.5,8.0,71.0,16.0,原始按器械数×基础单价(35.5)计费；处理后按标准价(8)计费
手术室,15,1576233,缝合针-8/Z7520,1.0,46.5,8.0,46.5,8.0,原始按器械数×基础单价(46.5)计费；处理后按标准价(8)计费
手术室,22,1580008,缝合针-6/Z7520,1.0,35.5,8.0,35.5,8.0,原始按器械数×基础单价(35.5)计费；处理后按标准价(8)计费
