月份,Sheet,问题类型,包名,发货单号,字段,原始值,处理后值,原始行号,处理后行号,说明
5月,手术室,多余行,无损伤-1/Z2060,1599484,整行,,1.0/28.0/28.0,,20,
5月,手术室,多余行,吸引器电凝棒1/Z1060,1599484,整行,,1.0/22.0/22.0,,21,
5月,手术室,多余行,转换器-1/Z7520,1599484,整行,,1.0/22.0/22.0,,22,
5月,手术室,汇总不一致-总价,手术室,,总价,3732.5,3738.5,8,8,
6月,外科,缺失行,剪刀-1止血钳-2/Z1530,1616018,整行,1.0/16.5/16.5,,31,,
6月,外科,缺失行,止血钳-1剪刀-1/Z1526,1616018,整行,1.0/16.5/16.5,,32,,
6月,外科,缺失行,缝合包,1616018,整行,8.0/38.5/308.0,,33,,
6月,外科,多余行,止血钳-1剪刀-1/Z1526,1606891,整行,,1.0/16.5/16.5,,9,
6月,外科,多余行,缝合包,1606891,整行,,2.0/38.5/77.0,,10,
6月,外科,多余行,无菌缸-5/W9050,1606891,整行,,2.0/27.5/55.0,,11,
6月,外科,多余行,缝合包,1607613,整行,,4.0/38.5/154.0,,12,
6月,外科,汇总不一致-总价,外科,,总价,1790.0,1751.5,8,8,
6月,手术室,缺失行,肛门包,1616017,整行,1.0/104.5/104.5,,31,,
6月,手术室,缺失行,阑尾包,1616017,整行,1.0/159.5/159.5,,32,,
6月,手术室,缺失行,门诊包,1616017,整行,1.0/137.5/137.5,,33,,
6月,手术室,缺失行,剥离质-1/Z7534,1616017,整行,2.0/8.0/16.0,,34,,
6月,手术室,缺失行,克氏针-12/Z7530,1616017,整行,1.0/16.5/16.5,,35,,
6月,手术室,缺失行,手刷-5/Z3032,1616017,整行,1.0/27.5/27.5,,36,,
6月,手术室,缺失行,持物钳罐-2/W6050,1616017,整行,2.0/16.5/33.0,,37,,
6月,手术室,多余行,咬骨钳-1/(双)Z1526,1607612,整行,,1.0/16.5/16.5,,9,
6月,手术室,多余行,持物钳罐-2/W6050,1607612,整行,,1.0/16.5/16.5,,10,
6月,手术室,多余行,腹腔镜器械-9件/W6050,1607612,整行,,1.0/49.5/49.5,,11,
6月,手术室,多余行,穿刺器10.5-1/Z1026,1607797,整行,,2.0/22.0/44.0,,12,
6月,手术室,多余行,穿刺器5.5-1/Z1026,1607797,整行,,1.0/22.0/22.0,,13,
