科室,原始行,发货单号,包名,包数,原单价,处理后单价,原总价,处理后总价,说明
分娩室,12,1600506,带架方盘-1/Z3044,4.0,16.5,16.0,66.0,66.0,原始按器械数×基础单价(16.5)计费；处理后按标准价(16)计费
手术室,38,1602236,手柄-1/Z1526,1.0,22.0,25.0,22.0,22.0,原始按器械数×基础单价(22)计费；处理后按标准价(25)计费
