科室,原始行,发货单号,包名,包数,原单价,处理后单价,原总价,处理后总价,规则覆盖,匹配规则,说明
手术室,16,1609398,环钻包,2.0,30.5,33.5,61.0,67.0,special_rule,环钻27.5(关键词匹配),原始按器械数×基础单价(30.5)计费；处理后按标准价(33.5)计费
手术室,46,1614554,环钻包,1.0,30.5,33.5,30.5,33.5,special_rule,环钻27.5(关键词匹配),原始按器械数×基础单价(30.5)计费；处理后按标准价(33.5)计费
