科室,原始行,发货单号,包名,包数,原单价,处理后单价,原总价,处理后总价,规则覆盖,匹配规则,说明
全部科室(汇总对比),113,1606728,宫腔检查镜30度-2件/Z2060,1.0,23.45,30.8,23.45,30.8,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(23.45)计费；处理后按标准价(30.8)计费
全部科室(汇总对比),132,1607447,扩棒（7-10）-7/Z1026,1.0,28.7,26.95,28.7,26.95,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(28.7)计费；处理后按标准价(26.95)计费
全部科室(汇总对比),147,1601516,取钉包,1.0,127.05,207.9,127.05,207.9,special_rule,FIXED_PRICE(关键词匹配),原始按器械数×基础单价(127.05)计费；处理后按标准价(207.9)计费
全部科室(汇总对比),326,1602672,外借配件-4/Z1530,1.0,46.2,61.6,46.2,61.6,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(46.2)计费；处理后按标准价(61.6)计费
