科室,原始行,发货单号,包名,包数,原单价,处理后单价,原总价,处理后总价,规则覆盖,匹配规则,说明
全部科室(汇总对比),27,1609119,宫腔检查镜30度-2件/Z2060,1.0,23.45,30.8,23.45,30.8,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(23.45)计费；处理后按标准价(30.8)计费
全部科室(汇总对比),32,1609440,扩棒（7-10）-7/Z1026,3.0,28.7,26.95,86.1,80.85,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(28.7)计费；处理后按标准价(26.95)计费
全部科室(汇总对比),117,1615323,扩棒（7-10）-7/Z1026,1.0,28.7,26.95,28.7,26.95,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(28.7)计费；处理后按标准价(26.95)计费
全部科室(汇总对比),59,1615324,扩棒（7.5-10）-6/Z1026,1.0,24.85,23.1,24.85,23.1,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(24.85)计费；处理后按标准价(23.1)计费
全部科室(汇总对比),364,1611111,取钉包,1.0,127.05,207.9,127.05,207.9,special_rule,FIXED_PRICE(关键词匹配),原始按器械数×基础单价(127.05)计费；处理后按标准价(207.9)计费
妇科病房,28,1609119,宫腔检查镜30度-3件/Z2060,1,46.2,30.8,,,system_warning,省二松北宫腔检查镜30度3件,由系统 warning 补录（导入价 vs 规则价，Excel 逐行未 diff）
