月份,Sheet,问题类型,包名,发货单号,字段,原始值,处理后值,原始行号,处理后行号,说明
1月,全部科室(汇总对比),缺失行,枪装镊29弯针3吸管15喉镜5盘1/W9050,1569341,整行,1.0/233.2/233.2,,33,,
1月,全部科室(汇总对比),缺失行,穿刺针-1/Z7526,1569355,整行,1.0/6.4/6.4,,34,,
1月,全部科室(汇总对比),缺失行,橄榄头-108/z2030,1569403,整行,1.0/275.2/275.2,,35,,
1月,全部科室(汇总对比),缺失行,鼻镜20 方盘1/W9050,1569846,整行,4.0/88.0/352.0,,36,,
1月,全部科室(汇总对比),缺失行,穿刺针-1/Z7526,1569846,整行,2.0/6.4/12.8,,37,,
1月,全部科室(汇总对比),缺失行,喉镜20吸管26弯针13盒1/w9050,1569846,整行,1.0/264.0/264.0,,38,,
1月,全部科室(汇总对比),缺失行,枪状镊53 盒1/w9050,1569846,整行,1.0/237.6/237.6,,39,,
1月,全部科室(汇总对比),缺失行,鼻镜20 方盘1/W9050,1570253,整行,3.0/88.0/264.0,,40,,
1月,全部科室(汇总对比),缺失行,穿刺针-1/Z7526,1570253,整行,1.0/6.4/6.4,,41,,
1月,全部科室(汇总对比),缺失行,剪刀-1/Z1029,1570253,整行,1.0/6.4/6.4,,42,,
1月,全部科室(汇总对比),缺失行,枪状镊20喉镜7弯针1吸管8盘1/W9050,1570253,整行,1.0/162.8/162.8,,43,,
1月,全部科室(汇总对比),缺失行,鼻镜20 方盘1/W9050,1570594,整行,5.0/88.0/440.0,,44,,
1月,全部科室(汇总对比),缺失行,穿刺针-1/Z7526,1570594,整行,4.0/6.4/25.6,,45,,
1月,全部科室(汇总对比),缺失行,枪状镊33喉镜13弯针6吸管20盘1/W9050,1570594,整行,1.0/321.2/321.2,,46,,
1月,全部科室(汇总对比),缺失行,冲洗头-100/z2030,1570634,整行,1.0/328.0/328.0,,47,,
1月,全部科室(汇总对比),缺失行,鼻镜20 方盘1/W9050,1571006,整行,4.0/88.0/352.0,,48,,
1月,全部科室(汇总对比),缺失行,穿刺针-1/Z7526,1571006,整行,1.0/6.4/6.4,,49,,
1月,全部科室(汇总对比),缺失行,枪状镊5/Z1026,1571006,整行,1.0/22.0/22.0,,50,,
1月,全部科室(汇总对比),缺失行,枪状镊16喉镜5弯针4吸管10盘1/W9050,1571006,整行,1.0/158.4/158.4,,51,,
1月,全部科室(汇总对比),缺失行,纱条/Z1029,1571006,整行,1.0/2.0/2.0,,52,,
1月,全部科室(汇总对比),缺失行,鼻镜20 方盘1/W9050,1571297,整行,4.0/88.0/352.0,,53,,
1月,全部科室(汇总对比),缺失行,穿刺针-1/Z7526,1571297,整行,1.0/6.4/6.4,,54,,
